ru-1097
Brexit	Brexit	EVT	EVT-Brexit
Британии	Британия	LOC	GPE-Great-Britain
Великобритании	Великобритания	LOC	GPE-Great-Britain
Доминик Рааб	Доминик Рааб	PER	PER-Dominic-Raab
Доминика Рааба	Доминик Рааб	PER	PER-Dominic-Raab
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
Дэвиса	Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европейского Союза	Европейский Союз	ORG	ORG-European-Union
Евросоюзом	Евросоюз	ORG	ORG-European-Union
Консервативной партии	Консервативная партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Рааб	Рааб	PER	PER-Dominic-Raab
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
Терезой Мэй	Тереза Мэй	PER	PER-Theresa-May
