ru-1064
Brexit	Brexit	EVT	EVT-Brexit
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Великобритании	Великобритания	LOC	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джонсона	Джонсон	PER	PER-Boris-Johnson
Европейского союза	Европейский союз	ORG	ORG-European-Union
Константин Косачев	Константин Косачев	PER	PER-Konstantin-Kosachev
Косачев	Косачев	PER	PER-Konstantin-Kosachev
Лондона	Лондон	LOC	GPE-London
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
Мэй	Мэй	PER	PER-Theresa-May
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
Терезе Мэй	Тереза Мэй	PER	PER-Theresa-May
кабинета министров	кабинет министров	ORG	ORG-Cabinet-of-the-United-Kingdom
