ru-1005
Brexit	Brexit	EVT	EVT-Brexit
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Борисом Джонсоном	Борис Джонсон	PER	PER-Boris-Johnson
Великобритании	Великобритания	LOC	GPE-Great-Britain
Джонсон	Джонсон	PER	PER-Boris-Johnson
Джонсона	Джонсон	PER	PER-Boris-Johnson
Дэвида Дэвиса	Дэвид Дэвис	PER	PER-David-Davis
Дэвидом Дэвисом	Дэвид Дэвис	PER	PER-David-Davis
Дэвиса	Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
Евросоюзом	Евросоюз	ORG	ORG-European-Union
МИД	МИД	ORG	ORG-Foreign-Office
Мэй	Мэй	PER	PER-Theresa-May
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
