ru-1032
Brexit	Brexit	EVT	EVT-Brexit
Великобритании	Великобритания	LOC	GPE-Great-Britain
Доминик Рааб	Доминик Рааб	PER	PER-Dominic-Raab
Доминика Рааба	Доминик Рааб	PER	PER-Dominic-Raab
Дэвида Дэвиса	Дэвид Дэвис	PER	PER-David-Davis
Дэвис	Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
Рааб	Рааб	PER	PER-Dominic-Raab
Терезы Мэй	Тереза Мэй	PER	PER-Theresa-May
министерство по делам жилищного строительства Великобритании	министерство по делам жилищного строительства Великобритании	ORG	ORG-Ministry-of-Housing-Communities-and-Local
