ru-1043
Brexit	Brexit	EVT	EVT-Brexit
SalamNews	SalamNews	ORG	ORG-SalamNews
[Лиссабонского] договора	[Лиссабонский] договор	PRO	PRO-Treaty-of-Lisbon
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Брюсселе	Брюссель	LOC	GPE-Brussles
Брюсселю	Брюссель	LOC	GPE-Brussles
Великобритании	Великобритания	LOC	GPE-Great-Britain
Доминик Рааб	Доминик Рааб	PER	PER-Dominic-Raab
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
Дэвида Дэвиса	Дэвид Дэвис	PER	PER-David-Davis
Дэвида Лидингтона	Дэвид Лидингтон	PER	PER-David-Lidington
Дэвис	Дэвис	PER	PER-David-Davis
ЕК	ЕК	ORG	ORG-European-Commission
ЕС	ЕС	ORG	ORG-European-Union
Еврокомиссии	Еврокомиссия	ORG	ORG-European-Commission
Лондоном	Лондон	LOC	GPE-London
МИД	МИД	ORG	ORG-Foreign-Office
Майкла Гоува	Майкл Гоув	PER	PER-Michael-Gove
Маргаритис Схинас	Маргаритис Схинас	PER	PER-Margaritis-Schinas
Мишель Барнье	Мишель Барнье	PER	PER-Michel-Barnier
Мэй	Мэй	PER	PER-Theresa-May
Рааб	Рааб	PER	PER-Dominic-Raab
США	США	LOC	GPE-USA
Схинас	Схинас	PER	PER-Margaritis-Schinas
Схинаса	Схинас	PER	PER-Margaritis-Schinas
ТАСС	ТАСС	ORG	ORG-TASS
кабинета министров	кабинет министров	ORG	ORG-Cabinet-of-the-United-Kingdom
министерство по делам регионов и местного самоуправления	министерство по делам регионов и местного самоуправления	ORG	ORG-Ministry-of-Housing-Communities-and-Local
таможенному союзу ЕС	таможенный союз ЕС	ORG	ORG-European-Union-Customs-Union
