ru-1008
Brexit	Brexit	EVT	EVT-Brexit
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Великобритании	Великобритания	LOC	GPE-Great-Britain
Доминик Рааб	Доминик Рааб	PER	PER-Dominic-Raab
Доминика Рааба	Доминик Рааб	PER	PER-Dominic-Raab
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
Дэвид Ледингтон	Дэвид Ледингтон	PER	PER-David-Lidington
Дэвида Дэвиса	Дэвида Дэвиса	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
Майкл Гоув	Майкл Гоув	PER	PER-Michael-Gove
Мэй	Мэй	PER	PER-Theresa-May
Рааб	Рааб	PER	PER-Dominic-Raab
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
Терезы Мэй	Терезы Мэй	PER	PER-Theresa-May
