ru-1034
Brexit	Brexit	EVT	EVT-Brexit
Twitter	Twitter	PRO	PRO-Twitter
БРЮССЕЛЬ	БРЮССЕЛЬ	LOC	GPE-Brussles
Брюсселю	Брюссель	LOC	GPE-Brussles
Великобритании	Великобритания	LOC	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Д.Рааб	Д.Рааб	PER	PER-Dominic-Raab
Доминик Рааб	Доминик Рааб	PER	PER-Dominic-Raab
Доминика Рааба	Доминик Рааб	PER	PER-Dominic-Raab
Дэвида Дэвиса	Дэвид Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
КАЗИНФОРМ	КАЗИНФОРМ	ORG	ORG-Kazinform
Лондон	Лондон	LOC	GPE-London
МИА Казинформ	МИА Казинформ	ORG	ORG-Kazinform
Рааб	Рааб	PER	PER-Dominic-Raab
министерстве по делам регионов и местного самоуправления	министерство по делам регионов и местного самоуправления	ORG	ORG-Ministry-of-Housing-Communities-and-Local
