ru-1161
Brexit	Brexit	EVT	EVT-Brexit
ONLINE.UA	ONLINE.UA	PRO	PRO-ONLINE-UA
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
ВВС	ВВС	PRO	PRO-BBC-website
Великобритании	Великобритания	LOC	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джонсон 	Джонсон	PER	PER-Boris-Johnson
Джонсон	Джонсон	PER	PER-Boris-Johnson
Джонсона	Джонсон	PER	PER-Boris-Johnson
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
Мэй	Мэй	PER	PER-Theresa-May
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
Терезе Мэй	Тереза Мэй	PER	PER-Theresa-May
парламента	парламент	ORG	ORG-British-Parlament
правительстве	правительство	ORG	ORG-the-UK-Government
