ru-1028
Brexit	Brexit	EVT	EVT-Brexit
Англии	Англия	LOC	GPE-Great-Britain
Англия	Англия	LOC	GPE-Great-Britain
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Брюсселем	Брюссель	LOC	GPE-Brussles
Доминик Рааб	Доминик Рааб	PER	PER-Dominic-Raab
Доминика Рааба	Доминик Рааб	PER	PER-Dominic-Raab
Дэвид Дэвис	Дэвид Дэвис	PER	PER-David-Davis
Дэвида Лидингтона	Дэвид Лидингтон	PER	PER-David-Lidington
Дэвис	Дэвис	PER	PER-David-Davis
Дэвиса	Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Кабмина	Кабмин	ORG	ORG-Cabinet-of-the-United-Kingdom
Консервативной партии	Консервативная партия	ORG	ORG-Conservative-and-Unionist-Party-UK
МИД	МИД	ORG	ORG-Foreign-Office
Майкла Гоува	Майкл Гоув	PER	PER-Michael-Gove
Мэй	Мэй	PER	PER-Theresa-May
РИА Новости	РИА Новости	ORG	ORG-RIA-Novosti
Рааба	Рааб	PER	PER-Dominic-Raab
Терезы Мэй	Тереза Мэй	PER	PER-Theresa-May
британский Кабмин	британский Кабмин	ORG	ORG-Cabinet-of-the-United-Kingdom
