ru-1113
Brexit	Brexit	EVT	EVT-Brexit
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Бориса Джонсона	Борис Джонсон	PER	PER-Boris-Johnson
Великобритании	Великобритания	LOC	GPE-Great-Britain
Даунинг-Стрит	Даунинг-Стрит	LOC	LOC-Downing-Street
Джонсона	Джонсон	PER	PER-Boris-Johnson
Дэвида Дэвиса	Дэвид Дэвис	PER	PER-David-Davis
Дэвиса	Дэвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Евросоюза	Евросоюз	ORG	ORG-European-Union
МИД Великобритании	МИД Великобритании	ORG	ORG-Foreign-Office
Мэй	Мэй	PER	PER-Theresa-May
Терезы Мэй	Тереза Мэй	PER	PER-Theresa-May
британского МИД	британский МИД	ORG	ORG-Foreign-Office
